,Wine,Alcohol,Malic.acid,Ash,Acl,Mg,Phenols,Flavanoids,Nonflavanoid.phenols,Proanth,Color.int,Hue,OD,Proline
0,0.97956043,13.643819,1.7494233,2.3146493,16.872202,103.423195,2.6554372,2.981861,0.2840727,1.7755406,5.2104983,1.0574462,3.2343252,1028.0334
1,2.259708,12.2398615,1.7337953,2.294804,19.65676,99.71218,1.5033025,1.3293568,0.38882515,1.1784041,2.914229,0.97621715,2.0816832,541.2995
2,2.1196465,12.785318,2.1191382,2.3856237,21.615273,90.44186,2.0822423,1.7549075,0.38802668,1.5077686,3.9138346,0.9735825,2.6786354,608.3083
3,2.03072,12.340999,2.134313,2.2319713,20.273235,85.54029,2.3622909,2.1462762,0.3463055,1.6064606,3.352466,0.87146926,3.0106678,483.0759
4,2.0592613,11.9644985,2.2453122,2.2214174,20.098402,86.05925,2.6469624,2.5721064,0.36812848,2.2450018,2.4948044,1.2016716,3.0909646,437.12436
5,1.0473933,13.92385,2.0581083,2.3683453,16.27184,105.877106,2.7636602,3.0676951,0.28522453,2.0590668,5.4302263,1.1160946,3.2797167,1080.199
6,2.464817,12.825746,2.1700492,2.4034193,21.521183,118.788734,2.3778377,1.7037992,0.279287,1.9917538,5.2432785,0.8601089,2.3539224,598.82294
7,2.1857238,12.258692,1.4112152,2.026244,18.35513,87.2241,2.388197,1.9626936,0.26429537,1.6424855,3.117451,1.2030013,2.8356314,490.92902
8,1.8609049,12.672546,3.180941,2.393687,19.948864,94.779335,2.5746186,2.4922857,0.32080072,1.8088748,3.6696513,0.82302266,3.0898416,569.3188
9,3.225117,12.89863,3.2940865,2.3880088,20.89984,107.8595,1.3648676,0.72130746,0.33041617,0.9764673,7.9819713,0.59068716,1.3466445,626.2678
10,1.7144847,12.511574,2.7163198,2.4452112,20.549755,89.76773,2.8679826,2.8853831,0.2522309,2.042378,3.154495,1.004933,3.389803,489.3332
11,2.2102413,12.956915,4.533428,2.3394167,21.388334,92.45145,2.2340984,2.0812044,0.45983097,1.5370312,3.4512165,0.81264806,2.7065442,518.56586
12,0.96522236,14.044695,1.7467141,2.321016,15.983333,107.10828,3.0885782,3.3887696,0.26178408,2.128489,6.173124,1.0867307,3.1789722,1277.0966
13,1.3132507,13.873251,2.967159,2.5325892,18.070894,112.03791,2.830025,2.780098,0.30141103,1.9035803,6.1687264,0.9239892,3.0156155,786.5456
14,1.6037463,12.642728,3.4933767,2.3574946,19.128632,97.07858,2.7840276,2.8636608,0.25605348,2.1249776,3.7541707,0.8841783,3.3673737,536.9346
15,3.0194614,12.784809,3.5248582,2.3894684,20.380552,95.18705,1.4278569,0.62067753,0.47035936,0.8418107,5.90267,0.7371201,1.7327129,625.396
16,1.21376,14.139435,2.234584,2.4528797,15.477258,112.61638,3.3685248,3.3895276,0.3190332,2.3191822,8.322592,0.9939553,2.910078,1289.2798
17,1.418255,12.920098,3.341992,2.4387326,18.729763,100.575615,2.5729785,2.5262315,0.31075513,1.6897361,4.5014915,0.8728784,3.104767,666.4204
18,2.0493245,12.423509,1.483736,2.1273358,19.761816,86.38463,2.0877724,1.9230584,0.3283792,1.4217366,3.1179566,1.0421734,2.9414005,578.17566
19,1.7467865,13.452983,2.553705,2.5519924,19.665182,106.262764,2.433574,2.0381715,0.39455342,1.5165125,6.2584195,0.90095216,2.5170105,858.075
20,2.1680956,11.807955,1.7178197,2.5184376,24.355692,90.19333,2.0854194,2.0455246,0.44475052,1.5409377,2.5797992,1.3528978,2.8904233,451.27554
21,2.388106,12.426236,2.2436614,2.3297155,21.24866,89.43381,1.5798659,1.2931755,0.47488138,1.232399,3.760622,0.89161974,2.3282897,544.01874
22,1.3659661,13.378792,2.4770148,2.637907,20.463383,112.82508,2.5228612,2.424662,0.3205274,1.6975927,5.079503,1.0351863,2.9301326,879.98334
23,2.085294,12.630761,1.4699461,2.1313055,16.905228,142.53151,2.0981581,1.716874,0.27419198,2.4388022,3.8978662,1.0550779,2.2355452,752.08374
24,2.1159673,12.636647,2.3707209,2.6232924,22.622824,103.87181,1.9308097,1.6160114,0.43453535,1.347726,3.961342,0.97598314,2.3460975,636.3671
25,2.0199552,12.475902,4.168304,2.3223243,21.379536,86.06502,2.4663846,2.6066618,0.38745996,1.9550347,2.7882576,0.8612991,2.99461,450.59238
26,1.2011294,13.091378,1.7541066,2.5301652,18.823317,102.21041,2.526068,2.4565537,0.29245517,1.653029,3.9897141,1.0996692,3.1447053,941.38104
27,1.4587499,12.87117,2.0793161,2.5441668,21.55861,95.83406,2.6090784,2.4617147,0.3401514,1.6288825,3.2387946,1.1241609,3.2119527,654.8351
