,Wine,Alcohol,Malic.acid,Ash,Acl,Mg,Phenols,Flavanoids,Nonflavanoid.phenols,Proanth,Color.int,Hue,OD,Proline
0,1,13.739707,2.524141,2.4516006,17.352127,115.41082,3.102776,2.8477578,0.28318247,1.8169016,4.946596,1.0447176,3.340399,994.0161
1,1,14.5601425,1.4261446,2.4664829,13.950395,116.92342,3.4395363,3.8896472,0.17555596,2.6712973,5.79202,1.134002,3.749951,1423.2982
2,2,12.1901045,2.9394052,2.3616736,23.538385,76.52973,1.6524422,1.4627582,0.51066715,0.9247567,3.2064445,0.9268389,2.339894,416.98093
3,3,13.768058,4.9008822,2.5690794,21.093618,100.96213,1.0767012,0.21701236,0.57427883,0.8740929,10.862321,0.43685395,0.9105959,704.3558
4,3,13.304088,3.854648,2.4409478,21.371742,95.63585,1.8797551,0.9305542,0.51798886,1.0411626,7.086558,0.7009671,1.6713023,429.73062
5,1,14.172157,1.761731,2.3911572,15.512205,126.0894,2.6324005,2.874572,0.27202752,2.0742333,6.194375,1.0901927,2.7102957,1257.1383
6,2,13.472013,2.348492,2.551513,18.943996,120.92643,2.9779913,2.0409904,0.38115832,1.7815036,4.2498727,1.1419835,2.546457,1036.9468
7,1,12.817516,1.5936092,2.4461277,19.681906,100.24829,3.0175555,3.110177,0.31857803,1.976996,3.2618408,1.1227016,3.377614,747.2121
8,2,13.065602,3.5350113,2.7796252,23.856068,87.369156,2.0624247,1.5033838,0.52706397,1.2043558,5.899928,0.79451597,2.1218002,696.8765
9,1,13.913159,2.1275554,2.7198877,17.241814,121.40161,3.327447,3.066967,0.2260529,2.1995838,6.631548,1.0888284,3.5045247,1222.5417
10,4,13.492841,4.9192257,2.3650467,21.967396,84.714,1.0785859,-0.3720806,0.5110991,0.5615878,9.340375,0.33895963,0.8755578,468.90695
11,2,11.131557,1.1330013,1.4264603,18.92362,62.77387,2.2103176,2.0569227,0.28541058,1.323645,1.0288254,1.102407,3.1305547,243.85847
12,1,15.509688,0.12792966,1.7851746,7.039487,117.657135,3.6091194,3.2979364,0.07595278,3.019857,7.055068,1.2378836,4.0245705,1371.6144
13,3,13.834097,3.7358718,2.650673,23.066982,115.52116,1.7102534,0.7309068,0.43120465,1.3067944,9.366397,0.56929874,1.371072,607.8773
14,1,14.711431,1.9371893,2.2057498,14.942042,109.044304,2.6086767,2.958984,0.19585791,2.3118262,7.256172,1.0167248,2.7292588,1436.4073
15,2,14.111669,3.3547068,2.6505907,22.79301,120.94064,2.4552531,2.3307307,0.39754242,1.8615835,8.618873,0.789246,2.2183077,1007.6975
16,1,14.355089,1.8058507,2.2826402,11.892435,113.56656,3.7195961,3.4531138,0.1823787,2.9547727,6.3229427,1.2251321,3.7072427,1397.451
17,2,11.845485,2.2900908,2.2009392,21.429651,88.07262,1.992406,1.254618,0.45749307,1.3245587,2.5708704,1.0648566,2.1174185,425.1439
18,2,11.339268,2.2412996,2.3699567,22.368406,75.172134,1.8146806,1.3074535,0.49788213,1.0037856,2.1285768,1.0207709,2.505751,358.27487
19,1,12.910665,1.3287963,2.1598825,17.497925,115.66204,3.050284,2.632148,0.23935714,2.304863,3.2544115,1.223503,3.2226493,1012.57324
20,2,12.378166,2.6038084,2.3014493,21.249775,93.56614,1.7071565,1.6417761,0.38375708,1.407451,4.042244,1.0434047,2.488014,548.55585
21,1,12.585928,1.357861,2.3475528,17.594524,95.69586,2.7143779,2.731598,0.2647368,1.7915881,2.8957462,1.1688944,3.2051816,761.43115
22,2,12.916317,2.5859485,2.5681207,20.446173,101.26813,1.9677799,1.9270428,0.47506818,1.6557826,4.2100253,1.0207411,2.6535416,689.59875
23,2,13.285478,2.9457016,2.4217734,19.753323,97.39804,2.1610084,1.7589318,0.37673855,1.4875648,4.8397303,0.9634547,2.6251512,775.5045
