,Wine,Alcohol,Malic.acid,Ash,Acl,Mg,Phenols,Flavanoids,Nonflavanoid.phenols,Proanth,Color.int,Hue,OD,Proline
0,1,15.162367,1.6679853,2.386225,10.140714,92.70474,3.4242134,4.224139,0.38476792,3.0033386,6.054831,1.2113316,2.7962093,1378.3231
1,1,13.268158,1.7259804,2.1030798,14.857944,117.65989,2.844095,3.0596354,0.2596561,2.4683788,5.5414834,0.989991,3.1822321,861.8758
2,3,12.545579,3.0088894,2.2965875,20.024967,89.93076,1.5358591,0.7896009,0.5307052,1.2055551,5.0306387,0.8007202,1.7227433,627.8713
3,2,11.981555,2.5674238,2.8348284,28.68167,98.37923,2.1447403,2.1367476,0.58471364,1.4692308,3.8306198,0.98830926,2.4156814,438.6315
4,2,12.638368,2.2593527,2.2166831,19.880436,101.57414,1.3766301,1.0661672,0.31268165,1.0105554,4.160831,0.8753701,1.9438891,621.9109
5,1,14.161181,1.9043493,2.2989967,15.709942,109.401085,3.185535,3.5589817,0.26619655,2.3742604,6.6499057,1.0347263,3.2234805,1244.3766
6,2,12.074425,1.9232557,2.2795796,22.269503,80.39842,2.3056548,1.9488814,0.4037113,1.307124,2.5166473,0.948353,3.1409476,482.60638
7,2,13.402879,1.9227545,2.3621492,20.100855,90.32874,2.1207654,2.1026323,0.28092033,1.2454634,3.991765,1.0363017,2.8746643,785.3962
8,2,12.685392,3.3070364,2.315666,21.422693,85.60877,1.6388837,1.3972025,0.53315246,1.3444978,3.9521387,0.8337386,2.1916447,502.95966
9,2,11.861779,1.465801,2.4484391,24.23627,82.84592,1.8706911,1.3756268,0.45214313,1.2634487,2.2919252,1.2267022,2.8668182,545.3462
10,2,11.883894,2.714756,2.2095034,20.812988,85.412575,2.5225396,2.3299184,0.4178311,2.192651,1.8332561,1.43441,2.991263,400.8331
11,2,12.417101,1.3931289,1.7971939,14.949079,91.391136,1.9667612,1.673202,0.3106432,0.9955152,3.1147676,1.2321935,2.3150814,461.77597
12,1,14.167809,3.369873,2.408667,14.894005,122.22714,3.0305576,3.1993568,0.23497745,2.1608083,5.16804,0.94130594,3.6077664,867.01025
13,3,13.381352,3.0029943,2.5721781,23.026033,112.82267,1.6877569,1.0253608,0.3644815,1.5058804,9.706107,0.60975564,1.5169246,622.37805
14,3,12.615614,3.4234984,2.329922,19.674774,104.7297,1.3715677,0.7094169,0.34629366,0.96828866,7.9821672,0.611337,1.5598232,664.81024
15,3,13.262322,3.1034212,2.4150007,20.398926,106.520935,1.6460885,1.2167817,0.30532476,1.2941995,8.42729,0.701957,1.7448683,719.8981
16,2,11.879255,1.6020906,2.42815,23.90694,87.373726,1.840273,1.4920602,0.42234528,1.3455822,2.3563805,1.3129008,2.814392,513.3593
17,3,12.812055,3.0352623,2.3441784,20.19008,110.00284,1.2345169,0.90468055,0.21526295,0.8691061,6.115204,0.6854737,1.4144949,536.87805
18,2,12.061097,0.7748791,1.5627435,12.942249,85.8901,2.1639113,1.1296086,0.25699753,1.0290339,2.0578594,1.1600559,2.2359898,426.8472
19,2,11.720967,2.89812,2.304686,20.092304,90.8334,2.9958508,2.415971,0.17404556,2.26524,2.9303927,0.8583732,3.2811987,558.3387
20,2,11.9693575,1.388335,1.8260974,14.612597,93.28345,1.8789349,1.5842953,0.3103498,1.0594269,3.0110047,1.2155218,2.2498083,426.85602
21,1,14.582789,1.9299611,2.4798913,12.813476,109.056625,3.8905885,4.1740265,0.29201958,2.5266037,7.398034,1.0417304,3.1514304,1566.4889
22,2,13.399977,1.1254121,1.8132962,16.028063,93.2344,1.9978387,1.697809,0.30683634,0.7912565,3.6122117,1.2525319,2.36659,570.3102
23,2,11.789308,1.8080701,2.6562262,27.342232,87.10205,1.940468,1.4704819,0.40007028,1.2640506,2.3190196,1.2974733,3.228836,561.8826
24,2,12.369036,2.1327963,2.2366493,21.686241,83.99771,1.9840754,1.8033766,0.401246,1.3571957,2.939978,0.8909111,2.9152856,462.89542
