,Classifier,F1 Score,F1 Score Type
0,Gradient Boosting,1.0,Training
1,Gradient Boosting,0.5801289290419726,Test
2,Extra Trees Ensemble,1.0,Training
3,Extra Trees Ensemble,0.5663076054380403,Test
4,Random Forest,1.0,Training
5,Random Forest,0.620396632353154,Test
6,SGD,1.0,Training
7,SGD,0.7118482966309053,Test
8,LSVC,1.0,Training
9,LSVC,0.6242236024844722,Test
10,NuSVC,0.9864197530864198,Training
11,NuSVC,0.5795595708639187,Test
12,SVC,1.0,Training
13,SVC,0.5799124788255222,Test
14,DTC,0.9487101406219054,Training
15,DTC,0.5264822134387351,Test
16,ETC,0.9794480755265069,Training
17,ETC,0.47686335403726704,Test
18,MLP,1.0,Training
19,MLP,0.6751678273417404,Test
