,Classifier,F1 Score,F1 Score Type
0,Gradient Boosting,0.7645942587878072,Training
1,Gradient Boosting,0.6614035087719298,Test
2,Extra Trees Ensemble,0.7549602321215224,Training
3,Extra Trees Ensemble,0.6936925647451961,Test
4,Random Forest,0.7408352961256187,Training
5,Random Forest,0.685547201336675,Test
6,SGD,0.82684280593958,Training
7,SGD,0.825518341307815,Test
8,LSVC,0.7875505283247218,Training
9,LSVC,0.7482456140350877,Test
10,NuSVC,0.7048714797747057,Training
11,NuSVC,0.5361111111111111,Test
12,SVC,0.7039477726574501,Training
13,SVC,0.5361111111111111,Test
14,DTC,0.5487876925941443,Training
15,DTC,0.4978070175438596,Test
16,ETC,0.5478332169622492,Training
17,ETC,0.4423976608187134,Test
18,MLP,0.8013923877794845,Training
19,MLP,0.6279448621553885,Test
