,Best Parameters,Training F1-Score,Test F1-Score,Test Accuracy,Time Taken (minutes)
Gradient Boosting,"{'classifier__subsample': 0.9, 'classifier__n_estimators': 200, 'classifier__min_samples_split': 0.005, 'classifier__min_samples_leaf': 0.05, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 3, 'classifier__learning_rate': 0.15}",0.7020908004778972,0.5704678362573098,0.5789473684210527,0.7876012126604716
Extra Trees Ensemble,"{'classifier__n_jobs': -1, 'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 4, 'classifier__max_features': None, 'classifier__max_depth': None, 'classifier__criterion': 'entropy', 'classifier__class_weight': 'balanced'}",0.633714378811153,0.5825814536340851,0.5526315789473685,0.825115422407786
Random Forest,"{'classifier__n_jobs': -1, 'classifier__n_estimators': 300, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 4, 'classifier__max_features': None, 'classifier__max_depth': 5, 'classifier__criterion': 'entropy', 'classifier__class_weight': 'balanced'}",0.6716792192276063,0.5696115288220551,0.5526315789473685,7.179851877689361
SGD,"{'classifier__penalty': 'l2', 'classifier__n_jobs': -1, 'classifier__loss': 'perceptron', 'classifier__learning_rate': 'constant', 'classifier__eta0': 0.01, 'classifier__alpha': 1e-07}",0.7568384614191066,0.773471557682084,0.7894736842105263,0.241217303276062
LSVC,"{'classifier__penalty': 'l2', 'classifier__max_iter': 1000, 'classifier__loss': 'hinge', 'classifier__dual': True, 'classifier__C': 0.01}",0.7875505283247218,0.7482456140350877,0.7368421052631579,11.120675297578176
NuSVC,"{'classifier__nu': 0.25, 'classifier__kernel': 'linear', 'classifier__gamma': 'scale', 'classifier__degree': 4, 'classifier__coef0': 1.0}",0.7048714797747057,0.5361111111111111,0.5526315789473685,0.05017964839935303
SVC,"{'classifier__kernel': 'linear', 'classifier__gamma': 'auto', 'classifier__degree': 2, 'classifier__coef0': 1.0, 'classifier__C': 100}",0.7039477726574501,0.5361111111111111,0.5526315789473685,0.052835361162821455
DTC,"{'classifier__splitter': 'best', 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_features': None, 'classifier__max_depth': 10, 'classifier__criterion': 'gini'}",0.5335495973560491,0.5180451127819549,0.5263157894736842,0.12023497819900512
ETC,"{'classifier__splitter': 'random', 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 1, 'classifier__max_features': None, 'classifier__max_depth': 10, 'classifier__criterion': 'gini'}",0.5257092584834521,0.4793233082706767,0.5,0.03389360904693604
MLP,"{'classifier__solver': 'lbfgs', 'classifier__max_iter': 200, 'classifier__learning_rate_init': 0.1, 'classifier__learning_rate': 'constant', 'classifier__hidden_layer_sizes': (50, 40), 'classifier__alpha': 0.01, 'classifier__activation': 'tanh'}",0.7496129963226738,0.6701754385964913,0.6578947368421053,1.0361696243286134
