,Classifier,AUC,AUC Type
0,ETC,1.0,Test
1,ETC,1.0,Training
2,DTC,0.8666666666666667,Test
3,DTC,1.0,Training
4,SVC,1.0,Test
5,SVC,0.9942857142857143,Training
6,NuSVC,1.0,Test
7,NuSVC,0.9942857142857143,Training
8,LSVC,1.0,Test
9,LSVC,0.9942857142857143,Training
10,MLP,0.9833333333333334,Test
11,MLP,1.0,Training
12,KNN,0.9166666666666667,Test
13,KNN,1.0,Training
14,GNB,0.9833333333333334,Test
15,GNB,0.9828571428571429,Training
16,BNB,0.9666666666666667,Test
17,BNB,0.9971428571428571,Training
18,SGD,0.9833333333333334,Test
19,SGD,0.9942857142857143,Training
20,Ridge,1.0,Test
21,Ridge,0.9942857142857143,Training
22,Random Forest,1.0,Test
23,Random Forest,1.0,Training
24,Gradient Boosting,1.0,Test
25,Gradient Boosting,1.0,Training
26,Extra Trees Ensemble,1.0,Test
27,Extra Trees Ensemble,1.0,Training
28,Bagging,1.0,Test
29,Bagging,1.0,Training
30,AdaBoost,0.9916666666666667,Test
31,AdaBoost,0.96,Training
32,QDA,1.0,Test
33,QDA,0.9942857142857143,Training
34,LDA,1.0,Test
35,LDA,0.9885714285714287,Training
