,Classifier,AUC,AUC Type
0,ETC,0.5428571428571428,Test
1,ETC,0.9980506822612085,Training
2,DTC,0.725,Test
3,DTC,0.9980506822612085,Training
4,SVC,0.9964285714285714,Test
5,SVC,1.0,Training
6,NuSVC,0.9964285714285714,Test
7,NuSVC,1.0,Training
8,LSVC,0.9857142857142857,Test
9,LSVC,1.0,Training
10,MLP,0.9607142857142857,Test
11,MLP,1.0,Training
12,KNN,0.8624999999999999,Test
13,KNN,0.8567251461988303,Training
14,GNB,0.9142857142857144,Test
15,GNB,1.0,Training
16,BNB,0.8928571428571428,Test
17,BNB,1.0,Training
18,SGD,0.9785714285714286,Test
19,SGD,1.0,Training
20,Ridge,0.9857142857142857,Test
21,Ridge,1.0,Training
22,Random Forest,1.0,Test
23,Random Forest,1.0,Training
24,Gradient Boosting,0.9928571428571428,Test
25,Gradient Boosting,1.0,Training
26,Extra Trees Ensemble,0.9964285714285714,Test
27,Extra Trees Ensemble,1.0,Training
28,Bagging,0.9964285714285714,Test
29,Bagging,1.0,Training
30,AdaBoost,0.9142857142857144,Test
31,AdaBoost,1.0,Training
32,QDA,0.5,Test
33,QDA,1.0,Training
34,LDA,0.85,Test
35,LDA,0.9259259259259258,Training
