,Classifier,AUC,AUC Type
0,ETC,0.8225231910946197,Test
1,ETC,0.84043463183447,Training
2,DTC,0.8554656771799628,Test
3,DTC,0.8373390359496012,Training
4,SVC,0.9537068645640073,Test
5,SVC,0.9424251531614842,Training
6,NuSVC,0.9533061224489795,Test
7,NuSVC,0.9418518090394175,Training
8,LSVC,0.6462337662337663,Test
9,LSVC,0.6334481562825107,Training
10,MLP,0.9464786641929498,Test
11,MLP,0.9364142873656226,Training
12,KNN,0.9553766233766232,Test
13,KNN,0.9557461565136978,Training
14,GNB,0.6513098330241187,Test
15,GNB,0.6511478441798636,Training
16,BNB,0.6311985157699443,Test
17,BNB,0.6380903941740839,Training
18,SGD,0.6497513914656772,Test
19,SGD,0.6366246676684776,Training
20,Ridge,0.6431168831168831,Test
21,Ridge,0.6281770893538321,Training
22,Random Forest,0.9209944341372913,Test
23,Random Forest,0.9179239394289678,Training
24,Gradient Boosting,0.9460482374768089,Test
25,Gradient Boosting,0.9412460987169113,Training
26,Extra Trees Ensemble,0.8669090909090909,Test
27,Extra Trees Ensemble,0.8808137787539012,Training
28,Bagging,0.9141818181818182,Test
29,Bagging,0.9052872500288984,Training
30,AdaBoost,0.9442671614100185,Test
31,AdaBoost,0.9403213501329326,Training
32,QDA,0.7884230055658628,Test
33,QDA,0.7835440989480985,Training
34,LDA,0.6430575139146567,Test
35,LDA,0.6277147150618425,Training
