,Classifier,AUC,AUC Type
0,ETC,0.5748277777777778,Test
1,ETC,0.61586,Training
2,DTC,0.6410777777777777,Test
3,DTC,0.7661414999999999,Training
4,SVC,0.6147,Test
5,SVC,1.0,Training
6,NuSVC,0.6147,Test
7,NuSVC,1.0,Training
8,LSVC,0.6153333333333334,Test
9,LSVC,0.78295,Training
10,MLP,0.5831777777777778,Test
11,MLP,1.0,Training
12,KNN,0.6496722222222222,Test
13,KNN,0.7400505,Training
14,GNB,0.6456777777777778,Test
15,GNB,0.80531,Training
16,BNB,0.6327444444444444,Test
17,BNB,0.7310500000000001,Training
18,SGD,0.6419555555555555,Test
19,SGD,0.6308235000000001,Training
20,Ridge,0.6033333333333333,Test
21,Ridge,0.8219860000000001,Training
22,Random Forest,0.7845222222222221,Test
23,Random Forest,0.9950920000000001,Training
24,Gradient Boosting,0.817188888888889,Test
25,Gradient Boosting,0.998502,Training
26,Extra Trees Ensemble,0.7115333333333331,Test
27,Extra Trees Ensemble,0.9957340000000001,Training
28,Bagging,0.9134333333333335,Test
29,Bagging,0.971105,Training
30,AdaBoost,0.8387166666666667,Test
31,AdaBoost,0.8859834999999999,Training
32,QDA,0.6646555555555556,Test
33,QDA,1.0,Training
34,LDA,0.6035111111111111,Test
35,LDA,0.8219919999999998,Training
