selected_features_bin,experiment_name,pob_accuracy_avg,pob_ngenes_avg,count
A28102_at,"leukemia_base_0001_15, leukemia_base_0001_26, leukemia_base_0002_4, leukemia_base_0002_18, leukemia_base_0002_25","[1.0, 1.0, 1.0, 1.0, 1.0]","[720.0, 644.0, 669.0, 730.0, 716.0]",5
AB000114_at,"leukemia_base_0001_2, leukemia_base_0001_3, leukemia_base_0001_12, leukemia_base_0001_14, leukemia_base_0002_7, leukemia_base_0002_10, leukemia_base_0002_19","[1.0, 1.0, 0.971, 1.0, 1.0, 1.0, 1.0]","[674.0, 733.0, 694.0, 700.0, 682.0, 657.0, 683.0]",7
AB000115_at,"leukemia_base_0001_1, leukemia_base_0001_25, leukemia_base_0002_1, leukemia_base_0002_4, leukemia_base_0002_13, leukemia_base_0002_19, leukemia_base_0002_21, leukemia_base_0002_29","[1.0, 1.0, 0.984, 1.0, 1.0, 1.0, 0.969, 1.0]","[700.0, 676.0, 681.0, 669.0, 696.0, 683.0, 679.0, 707.0]",8
AB000220_at,"leukemia_base_0001_3, leukemia_base_0001_11, leukemia_base_0001_22, leukemia_base_0002_13, leukemia_base_0002_14, leukemia_base_0002_15, leukemia_base_0002_22, leukemia_base_0002_23, leukemia_base_0008_20","[1.0, 1.0, 0.971, 1.0, 1.0, 1.0, 1.0, 1.0, 0.891]","[733.0, 661.0, 690.0, 696.0, 700.0, 654.0, 676.0, 726.0, 70.0]",9
AB000381_s_at,"leukemia_base_0001_13, leukemia_base_0001_19, leukemia_base_0001_22, leukemia_base_0001_27, leukemia_base_0002_11, leukemia_base_0002_16, leukemia_base_0002_17, leukemia_base_0002_23","[1.0, 1.0, 0.971, 1.0, 1.0, 1.0, 1.0, 1.0]","[682.0, 676.0, 690.0, 734.0, 707.0, 650.0, 689.0, 726.0]",8
AB000409_at,"leukemia_base_0001_8, leukemia_base_0001_9, leukemia_base_0001_26, leukemia_base_0002_6, leukemia_base_0002_20, leukemia_base_0002_27","[1.0, 0.968, 1.0, 1.0, 1.0, 1.0]","[715.0, 650.0, 644.0, 671.0, 647.0, 713.0]",6
AB000410_s_at,"leukemia_base_0001_1, leukemia_base_0001_14, leukemia_base_0002_1, leukemia_base_0002_2, leukemia_base_0002_4, leukemia_base_0002_12, leukemia_base_0002_24","[1.0, 1.0, 0.984, 1.0, 1.0, 1.0, 1.0]","[700.0, 700.0, 681.0, 683.0, 669.0, 693.0, 683.0]",7
AB000449_at,"leukemia_base_0001_14, leukemia_base_0001_22, leukemia_base_0002_11, leukemia_base_0002_25, leukemia_base_0009_25","[1.0, 0.971, 1.0, 1.0, 1.0]","[700.0, 690.0, 707.0, 716.0, 53.0]",5
AB000450_at,"leukemia_base_0001_9, leukemia_base_0001_15, leukemia_base_0001_17, leukemia_base_0002_20, leukemia_base_0002_21, leukemia_base_0002_24, leukemia_base_0002_27, leukemia_base_0008_14, leukemia_base_0012_5","[0.968, 1.0, 1.0, 1.0, 0.969, 1.0, 1.0, 0.906, 1.0]","[650.0, 720.0, 722.0, 647.0, 679.0, 683.0, 713.0, 69.0, 64.0]",9
AB000460_at,"leukemia_base_0001_10, leukemia_base_0001_12, leukemia_base_0001_22, leukemia_base_0002_11, leukemia_base_0002_20, leukemia_base_0002_25, leukemia_base_0007_2","[0.971, 0.971, 0.971, 1.0, 1.0, 1.0, 1.0]","[679.0, 694.0, 690.0, 707.0, 647.0, 716.0, 58.0]",7
