selected_features_bin,experiment_name,pob_accuracy_avg,pob_ngenes_avg,count
A28102_at,"leukemia_base_0002_4, leukemia_base_0002_18, leukemia_base_0002_25","[1.0, 1.0, 1.0]","[669.0, 730.0, 716.0]",3
AB000114_at,"leukemia_base_0002_7, leukemia_base_0002_10, leukemia_base_0002_19","[1.0, 1.0, 1.0]","[682.0, 657.0, 683.0]",3
AB000115_at,"leukemia_base_0002_1, leukemia_base_0002_4, leukemia_base_0002_13, leukemia_base_0002_19, leukemia_base_0002_21, leukemia_base_0002_29","[0.984, 1.0, 1.0, 1.0, 0.969, 1.0]","[681.0, 669.0, 696.0, 683.0, 679.0, 707.0]",6
AB000220_at,"leukemia_base_0002_13, leukemia_base_0002_14, leukemia_base_0002_15, leukemia_base_0002_22, leukemia_base_0002_23","[1.0, 1.0, 1.0, 1.0, 1.0]","[696.0, 700.0, 654.0, 676.0, 726.0]",5
AB000381_s_at,"leukemia_base_0002_11, leukemia_base_0002_16, leukemia_base_0002_17, leukemia_base_0002_23","[1.0, 1.0, 1.0, 1.0]","[707.0, 650.0, 689.0, 726.0]",4
AB000409_at,"leukemia_base_0002_6, leukemia_base_0002_20, leukemia_base_0002_27","[1.0, 1.0, 1.0]","[671.0, 647.0, 713.0]",3
AB000410_s_at,"leukemia_base_0002_1, leukemia_base_0002_2, leukemia_base_0002_4, leukemia_base_0002_12, leukemia_base_0002_24","[0.984, 1.0, 1.0, 1.0, 1.0]","[681.0, 683.0, 669.0, 693.0, 683.0]",5
AB000449_at,"leukemia_base_0002_11, leukemia_base_0002_25, leukemia_base_0009_25","[1.0, 1.0, 1.0]","[707.0, 716.0, 53.0]",3
AB000450_at,"leukemia_base_0002_20, leukemia_base_0002_21, leukemia_base_0002_24, leukemia_base_0002_27","[1.0, 0.969, 1.0, 1.0]","[647.0, 679.0, 683.0, 713.0]",4
AB000460_at,"leukemia_base_0002_11, leukemia_base_0002_20, leukemia_base_0002_25","[1.0, 1.0, 1.0]","[707.0, 647.0, 716.0]",3
AB000462_at,"leukemia_base_0002_3, leukemia_base_0011_0, leukemia_base_0011_22","[1.0, 0.969, 0.969]","[660.0, 36.0, 38.0]",3
AB000464_at,"leukemia_base_0002_13, leukemia_base_0002_14, leukemia_base_0002_16, leukemia_base_0002_25, leukemia_base_0002_26","[1.0, 1.0, 1.0, 1.0, 1.0]","[696.0, 700.0, 650.0, 716.0, 711.0]",5
AB000466_at,"leukemia_base_0002_0, leukemia_base_0002_14, leukemia_base_0002_17","[1.0, 1.0, 1.0]","[685.0, 700.0, 689.0]",3
AB000467_at,leukemia_base_0002_10,[1.0],[657.0],1
AB000468_at,"leukemia_base_0002_3, leukemia_base_0002_17, leukemia_base_0002_23, leukemia_base_0011_20","[1.0, 1.0, 1.0, 1.0]","[660.0, 689.0, 726.0, 41.0]",4
AB000584_at,leukemia_base_0002_25,[1.0],[716.0],1
AB000816_s_at,"leukemia_base_0002_8, leukemia_base_0002_9, leukemia_base_0002_15","[1.0, 0.999, 1.0]","[694.0, 636.0, 654.0]",3
AB000895_at,"leukemia_base_0002_8, leukemia_base_0002_11, leukemia_base_0002_21, leukemia_base_0002_23, leukemia_base_0002_28","[1.0, 1.0, 0.969, 1.0, 1.0]","[694.0, 707.0, 679.0, 726.0, 688.0]",5
AB000896_at,"leukemia_base_0002_14, leukemia_base_0002_15","[1.0, 1.0]","[700.0, 654.0]",2
AB000897_at,"leukemia_base_0002_6, leukemia_base_0002_10, leukemia_base_0002_11, leukemia_base_0002_16, leukemia_base_0002_26, leukemia_base_0002_29, leukemia_base_0009_22","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.984]","[671.0, 657.0, 707.0, 650.0, 711.0, 707.0, 64.0]",7
AB000905_at,"leukemia_base_0002_5, leukemia_base_0002_8, leukemia_base_0002_11, leukemia_base_0002_13, leukemia_base_0002_21","[1.0, 1.0, 1.0, 1.0, 0.969]","[637.0, 694.0, 707.0, 696.0, 679.0]",5
AB001106_at,"leukemia_base_0002_12, leukemia_base_0002_16, leukemia_base_0002_18, leukemia_base_0002_23","[1.0, 1.0, 1.0, 1.0]","[693.0, 650.0, 730.0, 726.0]",4
AB001325_at,"leukemia_base_0002_12, leukemia_base_0002_20, leukemia_base_0002_25, leukemia_base_0002_29","[1.0, 1.0, 1.0, 1.0]","[693.0, 647.0, 716.0, 707.0]",4
AB002314_at,leukemia_base_0002_28,[1.0],[688.0],1
AB002315_at,"leukemia_base_0002_2, leukemia_base_0002_4, leukemia_base_0002_8, leukemia_base_0002_10, leukemia_base_0002_21","[1.0, 1.0, 1.0, 1.0, 0.969]","[683.0, 669.0, 694.0, 657.0, 679.0]",5
