selected_features_bin,experiment_name,pob_accuracy_avg,pob_ngenes_avg,count
att_1,mandelon_base_0023_2,[0.723],[41.0],1
att_10,"mandelon_base_0017_16, mandelon_base_0023_20","[0.747, 0.785]","[35.0, 30.0]",2
att_100,"mandelon_base_0017_4, mandelon_base_0023_2, mandelon_base_0023_4, mandelon_base_0023_18","[0.762, 0.723, 0.665, 0.81]","[29.0, 41.0, 45.0, 33.0]",4
att_101,mandelon_base_0017_4,[0.762],[29.0],1
att_102,"mandelon_base_0017_1, mandelon_base_0017_2, mandelon_base_0023_7, mandelon_base_0023_18, mandelon_base_0023_24","[0.71, 0.73, 0.79, 0.81, 0.765]","[36.0, 44.0, 33.0, 33.0, 41.0]",5
att_103,"mandelon_base_0017_1, mandelon_base_0017_2, mandelon_base_0017_8, mandelon_base_0023_10","[0.71, 0.73, 0.78, 0.73]","[36.0, 44.0, 24.0, 33.0]",4
att_104,"mandelon_base_0023_8, mandelon_base_0023_27","[0.763, 0.687]","[36.0, 31.0]",2
att_105,"mandelon_base_0017_0, mandelon_base_0023_14, mandelon_base_0023_24","[0.685, 0.788, 0.765]","[31.0, 36.0, 41.0]",3
att_106,"mandelon_base_0017_0, mandelon_base_0017_7, mandelon_base_0017_12, mandelon_base_0017_13, mandelon_base_0017_17, mandelon_base_0023_0, mandelon_base_0023_1, mandelon_base_0023_3, mandelon_base_0023_7, mandelon_base_0023_17, mandelon_base_0023_20, mandelon_base_0023_24, mandelon_base_0023_25","[0.685, 0.697, 0.715, 0.78, 0.728, 0.697, 0.768, 0.768, 0.79, 0.785, 0.785, 0.765, 0.76]","[31.0, 41.0, 45.0, 31.0, 38.0, 36.0, 41.0, 35.0, 33.0, 36.0, 30.0, 41.0, 36.0]",13
att_107,"mandelon_base_0023_3, mandelon_base_0023_11","[0.768, 0.758]","[35.0, 44.0]",2
att_108,"mandelon_base_0017_15, mandelon_base_0023_4","[0.76, 0.665]","[39.0, 45.0]",2
att_109,"mandelon_base_0023_13, mandelon_base_0023_27, mandelon_base_0023_28","[0.76, 0.687, 0.748]","[39.0, 31.0, 36.0]",3
att_11,"mandelon_base_0017_4, mandelon_base_0023_22","[0.762, 0.707]","[29.0, 41.0]",2
att_110,mandelon_base_0017_0,[0.685],[31.0],1
att_111,"mandelon_base_0017_2, mandelon_base_0017_10, mandelon_base_0023_8","[0.73, 0.785, 0.763]","[44.0, 29.0, 36.0]",3
att_112,"mandelon_base_0023_0, mandelon_base_0023_4","[0.697, 0.665]","[36.0, 45.0]",2
att_113,"mandelon_base_0017_1, mandelon_base_0017_11, mandelon_base_0023_4, mandelon_base_0023_24","[0.71, 0.695, 0.665, 0.765]","[36.0, 41.0, 45.0, 41.0]",4
